ALL	sentiment	NO literature	sentiment		ALL - negative	ALL - positive	NO - negative	NO - positive
brûlerons	0	nieraient	0					
renverserai	0	avortaient	0					
rançonnaient	0	propagandes	0					
rougissions	0	décrient	0					
foutaise	0	éludent	0					
éblouirent	0	effacerons	0					
inquiéteraient	0	saccageaient	0					
prétendent	0	délaissèrent	0					
lesbiennes	0	mendieront	0					
suaires	0	blasphématoire	0					
réprimèrent	0	superstitions	0					
submergèrent	0	condamneraient	0					
rougiront	0	pleureraient	0					
pervertissaient	0	ignorèrent	0					
nieraient	0	révoquerait	0					
travestissent	0	humiliera	0					
gémissiez	0	trancheront	0					
avoueraient	0	renonceront	0					
dominateurs	0	imitiez	0					
tailleront	0	obligerons	0					
rasèrent	0	contredirait	0					
charnel	0	bannirent	0					
ennemis	0	errèrent	0					
corrompaient	0	mépriseront	0					
mutilent	0	désobéissent	0					
censurèrent	0	vaudou	0					
railleront	0	ensevelirent	0					
implores	0	maudissent	0					
exécrer	0	jetâtes	0					
obstruèrent	0	extermine	0					
rétractaient	0	proxénètes	0					
étroitesses	0	démêlent	0					
bannissements	0	réprimaient	0					
renonceriez	0	déferaient	0					
crieraient	0	oppresseurs	0					
détruirons	0	répandiez	0					
captivité	0	endurcissait	0					
saccageait	0	crachera	0					
imposteur	0	démoniaques	0					
frapperons	0	captivité	0					
tranchèrent	0	maudirez	0					
espionnent	0	enterrerait	0					
réfugies	0	subordonnèrent	0					
murmurèrent	0	envahissants	0					
affligeront	0	torturèrent	0					
frustrent	0	inhospitaliers	0					
gerba	0	acharnes	0					
intransigeante	0	entêtent	0					
dépendirent	0	falsifia	0					
intolérance	0	blasphématoires	0					
confisquerait	0	décriaient	0					
ergoteurs	0	superstitieux	0					
indigneront	0	frustrent	0					
détruiras	0	égarions	0					
infectèrent	0	traquent	0					
bâillonnèrent	0	punissaient	0					
dénoncerez	0	interrogèrent	0					
violeraient	0	terroriser	0					
crachaient	0	déplairaient	0					
mentirent	0	dénouèrent	0					
renonceraient	0	violaient	0					
dûes	0	rougiront	0					
dégrada	0	intolérance	0					
incestes	0	païenne	0					
intriguèrent	0	induisaient	0					
jargons	0	voleurs	0					
souffriront	0	dénoncèrent	0					
empêcherions	0	espionnent	0					
branlaient	0	gémirons	0					
capturaient	0	sorciers	0					
imploraient	0	désespérerai	0					
craignaient	0	désolèrent	0					
dénonceront	0	détenaient	0					
escrocs	0	antisociaux	0					
censuraient	0	affamait	0					
suaient	0	terrifiaient	0					
taxa	0	déplaces	0					
enfreindra	0	délaissaient	0					
exhumèrent	0	culasses	0					
ignorants	0	défaisaient	0					
voulaient	0	maltraitèrent	0					
hérétique	0	crachaient	0					
saturaient	0	blâmèrent	0					
misérables	0	dûes	0					
dégradèrent	0	profanent	0					
désavouèrent	0	protestera	0					
fornications	0	infectèrent	0					
damneraient	0	écliptiques	0					
enterrent	0	trafics	0					
sorciers	0	combattrions	0					
éternuent	0	interrogions	0					
requerraient	0	néophytes	0					
agenouillais	0	intraitables	0					
déplorèrent	0	dévorèrent	0					
accroupissaient	0	émigreraient	0					
déposséda	0	inexcusables	0					
aspirèrent	0	dérision	0					
désobéissants	0	impotents	0					
poignarderai	0	louchera	0					
déplacèrent	0	combattraient	0					
combattrez	0	fanatisme	0					
brûleront	0	obstrua	0					
implorerait	0	écrases	0					
fessent	0	damneraient	0					
païens	0	synagogues	1					
persécutèrent	0	gentils	1					
persécutaient	0	protestants	1					
abhorraient	0	prophétisaient	1					
décrièrent	0	catholiques	1					
exterminait	0	adoreront	1					
dénonceraient	0	magiciens	1					
ghetto	0	peuples	1					
renégats	0	réformaient	1					
opprima	0	prêtres	1					
exterminaient	0	prophétisèrent	1					
proscrivirent	0	purifièrent	1					
détestèrent	0	réformèrent	1					
expulsèrent	0	conjecturent	1					
sectes	0	forgèrent	1					
révolteront	0	réconciliaient	1					
déshonorèrent	0	ressusciterait	1					
punirent	0	révèrent	1					
expulsaient	0	croyants	1					
anéantirai	0	secouraient	1					
inhumanités	0	embrasseraient	1					
exècrent	0	civilisèrent	1					
puniront	0	dédiaient	1					
secte	0	glorifiaient	1					
persécutera	0	rebâtira	1					
maudissaient	0	professaient	1					
asservirent	0	implantèrent	1					
gémiraient	0	cérémonielle	1					
chasseraient	0	sanctifièrent	1					
exterminent	0	pratiquèrent	1					
complotèrent	0	immémoriaux	1					
violèrent	0	nativités	1					
saccageaient	0	épouseraient	1					
apostasie	0	vénèrent	1					
ensevelissaient	0	évangile	1					
rétrogradaient	0	affichèrent	1					
bouchèrent	0	disperserai	1					
insultèrent	0	affilia	1					
pourchassèrent	0	ressuscitaient	1					
soucièrent	0	glorifièrent	1					
assassinaient	0	idoles	1					
intercèdent	0	prophéties	1					
proscrivaient	0	incorporèrent	1					
suicident	0	assemblerai	1					
dépossédèrent	0	vénérèrent	1					
rejetiez	0	ressuscites	1					
trafiquants	0	sanctifieras	1					
insurgeaient	0	rachetèrent	1					
éludaient	0	prêchaient	1					
calomniaient	0	secourent	1					
déterraient	0	florit	1					
persécutions	0	habitants	1					
grinces	0	révéraient	1					
profanèrent	0	méditèrent	1					
exaspérèrent	0	observeras	1					
profanent	0	adoraient	1					
scalpent	0	professeraient	1					
exclurent	0	changeurs	1					
damneront	0	apaiseront	1					
incrédules	0	prévaudraient	1					
vaudou	0	disperseraient	1					
détruirez	0	fidèles	1					
gémiront	0	tolérèrent	1					
inhumains	0	invoquèrent	1					
gémissaient	0	peuple	1					
désobéissaient	0	divulgua	1					
vagabonds	0	convièrent	1					
réprimera	0	assimilèrent	1					
repentirent	0	pélagiens	1					
crachèrent	0	prophétesse	1					
méprisent	0	réputaient	1					
exhument	0	khans	1					
bannissaient	0	inities	1					
domineras	0	orient	1					
nègres	0	immémoriales	1					
exterminer	0	pères	1					
interdiraient	0	troquait	1					
mépriseras	0	domptaient	1					
étrangers	0	émirs	1					
spéculaient	0	revêtiras	1					
maltraitent	0	supplantent	1					
effacerons	0	civilisait	1					
offensaient	0	inspirions	1					
émigrèrent	0	tolèrent	1					
rétrograderait	0	dépeignaient	1					
bataillaient	0	armeraient	1					
purgeaient	0	évocateurs	1					
sidérait	0	envisagèrent	1					
fulminent	0	forgeront	1					
errèrent	0	formulèrent	1					
désespérerait	0	supplantèrent	1					
gainas	0	nations	1					
désapprobateurs	0	rebâtirent	1					
déportent	0	vainquait	1					
fulminèrent	0	réconcilieraient	1					
incarcère	0	habiteraient	1					
désoleront	0	indigènes	1					
clamèrent	0	existai	1					
grincera	0	livreras	1					
asservissait	0	bénissaient	1					
rétractèrent	0	étonnâmes	1					
horrifiques	0	restaurai	1					
païennes	0	clergés	1					
argumentent	0	vainquirent	1					
prostitutions	0	pardonnèrent	1					
fondront	0	transplanta	1					
parjurent	0	prédomina	1					
insultaient	0	millénaire	1					
humiliera	0	attroupaient	1					
déportèrent	0	susciterai	1					
échappes	0	officiaient	1					
éviteriez	0	témoigneraient	1					
insurgèrent	0	envisageaient	1					
persécuter	0	concubinages	1					
insulteront	0	rois	1					
empiétèrent	0	édifièrent	1					
trancheront	0	réconcilièrent	1					
exterminerait	0	persévérèrent	1					
révoltèrent	0	subvenaient	1					
évadèrent	0	recouraient	1					
ensevelirez	0	artisans	1					
éludèrent	0	temple	1					
assassinèrent	0	autochtones	1					
mutilèrent	0	ressentirions	1					
extermine	0	biblique	1					
secoueront	0	tribus	1					
souillerez	0	vouèrent	1					
éhontés	0	éclaircirons	1					
délaisseront	0	rechercheraient	1					
prostituait	0	fiaient	1					
incubes	0	rachèteraient	1					
périssiez	0	fécondités	1					
superstition	0	mobilisait	1					
regorgèrent	0	nivela	1					
traquaient	0	vouaient	1					
tondaient	0	prêchions	1					
empoisonnèrent	0	éventaient	1					
maudissent	0	ressusciterons	1					
indignèrent	0	prophétiser	1					
flétrirent	0	cléments	1					
fanatismes	0	alimentèrent	1					
subissiez	0	promulguèrent	1					
désobéirent	0	occidentaux	1					
maudissions	0	anticipait	1					
gémirent	0	verset	1					
falsifiaient	0	raconteraient	1					
haïssent	0	icône	1					
épuiserai	0	ritualiste	1					
torturèrent	0	adoreras	1					
subordonnèrent	0	édifierai	1					
intercédera	0	officient	1					
traquait	0	traitas	1					
vieillirent	0	régnerons	1					
intercédaient	0	zodiaques	1					
bannirent	0	absoudrait	1					
inutilisés	0	concevrions	1					
révoquèrent	0	serviteurs	1					
appréhendent	0	invoqueront	1					
oppresseurs	0	considérèrent	1					
nieras	0	envisagent	1					
crachera	0	promissoire	1					
interdirent	0	sanctifiaient	1					
méconnaissaient	0	qualifiaient	1					
prétextèrent	0	récitèrent	1					
repentaient	0	enseigneront	1					
injurient	0	rassasiera	1					
paillards	0	contemplatifs	1					
incendiaient	0	dévoueront	1					
punissiez	0	sambas	1					
effémine	0	vêtirent	1					
dégoûtaient	0	vérifieront	1					
crieront	0	absolvait	1					
calomnieront	0	préférèrent	1					
confisquaient	0	appliquerions	1					
puaient	0	pèlerins	1					
trafics	0	disséminèrent	1					
paillarde	0	comportements	1					
incarcérait	0	divinité	1					
nièrent	0	prescrivirent	1					
trembleriez	0	genèse	1					
envahiront	0	conquéraient	1					
ensevelirons	0	accueilleraient	1					
déserteront	0	adorera	1					
inexistants	0	dompterait	1					
dépossédait	0	réconciliera	1					
asservissaient	0	ritualistes	1					
méchants	0	appliquaient	1					
traquent	0	hommes	1					
blâmèrent	0	superposa	1					
servitude	0	décréterait	1					
éblouiront	0	voueront	1					
supportèrent	0	marras	1					
domineraient	0	révolutionnait	1					
flics	0	convertissent	1					
voleurs	0	entremetteuses	1					
crèveront	0	approvisionnait	1					
précipiterai	0	cultiveraient	1					
condamneraient	0	couvèrent	1					
païenne	0	coordonnaient	1					
insultent	0	divulguent	1					
réfugiaient	0	institueront	1					
hérésie	0	logeraient	1					
fondrons	0	gazetiers	1					
iniquités	0	glorifierai	1					
humilièrent	0	vouera	1					
exterminerai	0	civilisent	1					
enterrerait	0	discernaient	1					
démoralisait	0	apprivoisèrent	1					
désespérerai	0	accréditaient	1					
vagabondent	0	exportaient	1					
falsifient	0	surpassèrent	1					
démoralisa	0	communient	1					
résignerons	0	honoreraient	1					
injuriaient	0	négociants	1					
interrogeront	0	purifierai	1					
accableront	0	méditerai	1					
perceraient	0	héritèrent	1					
répandraient	0	espérèrent	1					
indignent	0	libéraient	1					
contredirent	0	apaisaient	1					
intolérants	0	domptèrent	1					
gisantes	0	envoyâtes	1					
punirait	0	absolvaient	1					
bannirait	0	voyants	1					
puniraient	0	vénères	1					
saccagèrent	0	décrétèrent	1					
dénuer	0	transformerons	1					
bazars	0	accepteraient	1					
empêchions	0	curseurs	1					
confinaient	0	prédication	1					
impureté	0	incorpores	1					
proscrivent	0	versets	1					
pauvres	0	illumines	1					
colportèrent	0	aiguisèrent	1					
dénouèrent	0	récompensaient	1					
chenapans	0	refirent	1					
barrèrent	0	naturalises	1					
hypocrites	0	sanctifiait	1					
répandrais	0	raisonnaient	1					
déterrèrent	0	reconstruisaient	1					
synagogues	1	païens	0					
protestants	1	persécutèrent	0					
prophètes	1	persécuta	0					
gentils	1	persécuteront	0					
prophète	1	persécutaient	0					
civilises	1	décrièrent	0					
prophétisèrent	1	abhorraient	0					
prêcheraient	1	exterminait	0					
schématiques	1	sectaires	0					
persévéraient	1	captivités	0					
croyants	1	méprisaient	0					
prêtres	1	expulsèrent	0					
prophétisent	1	renégats	0					
fanatiques	1	dénonceraient	0					
magiciens	1	anéantirai	0					
prêcheront	1	exécraient	0					
orthodoxes	1	maudiraient	0					
adoreraient	1	exterminations	0					
embrasseraient	1	briseurs	0					
restaurai	1	proscrivaient	0					
qualifièrent	1	extermineront	0					
prophétiseront	1	prostituait	0					
papaux	1	persécutent	0					
accréditèrent	1	persécutait	0					
publiiez	1	maudirent	0					
dédiaient	1	réfugieraient	0					
professaient	1	prohibèrent	0					
professeraient	1	secte	0					
affilia	1	empoisonnèrent	0					
religion	1	arrêtas	0					
munissaient	1	ébranlerai	0					
évangile	1	colportaient	0					
secouraient	1	tyrannisaient	0					
toléraient	1	vikings	0					
vainquait	1	haïssaient	0					
glorifièrent	1	aliénaient	0					
accommodèrent	1	maltraitaient	0					
évocateurs	1	grinces	0					
disciples	1	rejetterai	0					
prêchaient	1	exterminèrent	0					
ressuscites	1	renverserai	0					
apaiseront	1	déterraient	0					
attacheraient	1	enfouirent	0					
respecteraient	1	opprimaient	0					
prévaudraient	1	sectes	0					
ressusciteraient	1	gémiront	0					
astrologues	1	infligèrent	0					
tolérèrent	1	haïront	0					
implantèrent	1	salaient	0					
patriarcaux	1	contredirent	0					
pratiqueraient	1	ergoteurs	0					
idoles	1	usures	0					
supplantent	1	spéculaient	0					
prophéties	1	implorèrent	0					
subvenaient	1	puniront	0					
adorèrent	1	persécutions	0					
moissonnerez	1	humiliaient	0					
symbolismes	1	mentit	0					
invoquèrent	1	détruirai	0					
observants	1	tondaient	0					
affichèrent	1	frapperons	0					
ressuscitaient	1	puniraient	0					
prêcherons	1	insurgeaient	0					
purifierai	1	charnels	0					
persévéreront	1	démoralisait	0					
envisageaient	1	persécution	0					
sanctifierez	1	inhumains	0					
réputaient	1	flétrirent	0					
transplanta	1	fanatismes	0					
prophétiser	1	clamèrent	0					
fidèles	1	parias	0					
assouvirent	1	gitanes	0					
pardonnèrent	1	rançonnaient	0					
méditerai	1	fessent	0					
divulguent	1	dénies	0					
sambas	1	rétrogradaient	0					
professeront	1	désavouent	0					
prophétesse	1	imposteur	0					
bilingues	1	sidérait	0					
certifiaient	1	indigneraient	0					
réconcilièrent	1	mutilent	0					
verset	1	déniaient	0					
forgèrent	1	rétractèrent	0					
divulgua	1	asservissaient	0					
prédomina	1	confisquaient	0					
adoreras	1	pervertissait	0					
fiaient	1	anéantissaient	0					
invoqueront	1	traquèrent	0					
rachetèrent	1	prétextent	0					
rebâtirai	1	révolteront	0					
adoriez	1	proscrivait	0					
formulèrent	1	maltraitent	0					
pélagien	1	révoquaient	0					
millénaires	1	exaspérèrent	0					
glorifierai	1	niaient	0					
secoururent	1	offensaient	0					
courtières	1	gèles	0					
constituions	1	ennemis	0					
marqueraient	1	interdiraient	0					
peuple	1	déportent	0					
rebâtirent	1	réprimera	0					
enseigneraient	1	impies	0					
sanctifieras	1	méconnurent	0					
convièrent	1	insultent	0					
orient	1	vagabonds	0					
conquerrait	1	inhumait	0					
compatriotes	1	dégoûtaient	0					
nations	1	intercédera	0					
adjoignis	1	étroitesses	0					
convertissent	1	intercédaient	0					
réconciliera	1	alléguaient	0					
naturalisa	1	déroberaient	0					
reconstruisirent	1	détestent	0					
gorgea	1	répandrai	0					
théologiennes	1	dominateurs	0					
serviteurs	1	tranchèrent	0					
scellent	1	méfiantes	0					
absolvaient	1	argumentaient	0					
célébrations	1	endettent	0					
envoyâtes	1	limitèrent	0					
communient	1	misérables	0					
patriarche	1	afflueraient	0					
paganismes	1	déplacèrent	0					
mosquées	1	intolérants	0					
gorgeaient	1	asservissait	0					
temple	1	obscurcirait	0					
pélagiens	1	réprimèrent	0					
vainquirent	1	supplieront	0					
paganisme	1	désavouaient	0					
introduisaient	1	païen	0					
incita	1	supportèrent	0					
approvisionnèrent	1	ensevelissaient	0					
promulguèrent	1	suspectaient	0					
mobilisait	1	enfouissaient	0					
fécondités	1	détruiras	0					
cérémoniels	1	rétractaient	0					
pratiquèrent	1	prohibait	0					
alimentèrent	1	inquiéteraient	0					
khans	1	séquestrait	0					
regarderaient	1	soupiraient	0					
raisonnaient	1	méconnaissaient	0					
vérifieront	1	incarcère	0					
artisans	1	fornications	0					
qualifiaient	1	vidas	0					
lèveraient	1	affligeront	0					
réputent	1	rançonnèrent	0					
polirent	1	athées	0					
rappellerions	1	désespérèrent	0					
supplantera	1	vieillirent	0					
prêcherai	1	afflueront	0					
respecteront	1	éludèrent	0					
convoiteras	1	bataillent	0					
convoiterez	1	tuaient	0					
célébrerez	1	abomination	0					
comportèrent	1	désespérerait	0					
rassasia	1	pacotilles	0					
rituelles	1	secoueront	0					
vendraient	1	dénonceront	0					
disperseraient	1	méprisent	0					
rassemblerai	1	volerez	0					
empereurs	1	emprisonnèrent	0					
révolutionnait	1	débarrasseraient	0					
raisonnèrent	1	saccageait	0					
disculpait	1	impie	0					
curseurs	1	exécrer	0					
tolèrent	1	contesteraient	0					
étreindra	1	insurgeait	0					
ressentirions	1	désobéirent	0					
communiaient	1	importunaient	0					
approcheraient	1	rasèrent	0					
absolvait	1	rejetiez	0					
domptèrent	1	insinuaient	0					
déclareraient	1	haïssent	0					
négociants	1	damnerait	0					
offrirez	1	fulminent	0					
troquent	1	imprégna	0					
guildes	1	reprochèrent	0					
pères	1	proscrivit	0					
enrichirai	1	dissimules	0					
couvèrent	1	rétractera	0					
réhabilitent	1	superstition	0					
prospéreraient	1	polygamie	0					
combineraient	1	déposséda	0					
vénères	1	submergèrent	0					
environneront	1	irriteront	0					
identifiaient	1	voulaient	0					
évangélistes	1	somatiques	0					
croient	1	exagérèrent	0					
glorifieront	1	refoulèrent	0					
affiliaient	1	violeraient	0					
temples	1	lesbiens	0					
susciterai	1	injurient	0					
ritualiste	1	vagabondent	0					
exemptèrent	1	prostitutions	0					
genèse	1	brûlerons	0					
pèlerins	1	répandraient	0					
édifièrent	1	dégoûteront	0					
purifies	1	gémirent	0					
épouseraient	1	contrediraient	0					
rétablirai	1	dénuer	0					
mosquée	1	épuiserai	0					
adopteraient	1	prostituent	0					
élèveras	1	infligeaient	0					
rois	1	intolérant	0					
adoptaient	1	émigreront	0					
peupleront	1	colporta	0					
orthodoxe	1	imploraient	0					
identifièrent	1	crieront	0					
érigeaient	1	déserteront	0					
armerons	1	fétiche	0					
séduiront	1	maudirai	0					
inspirions	1	défieront	0					
civilisent	1	enseveliront	0					
vouaient	1	intestats	0					
rites	1	déguisaient	0					
autochtones	1	désobéissants	0					
notifièrent	1	humiliai	0					
modérèrent	1	puants	0					
corroboraient	1	ramperas	0					
émirs	1	renonceriez	0					
exciterai	1	superstitieuse	0					
tatouaient	1	lourdauds	0					
harems	1	bazars	0					
léguaient	1	servitude	0					
bandèrent	1	corrompirent	0					
apprivoisèrent	1	extermination	0					
avènements	1	aphones	0					
vainqueurs	1	enjoindra	0					
traduisirent	1	perdante	0					
palpent	1	escrocs	0					
foulerez	1	envahisseurs	0					
accompliraient	1	antéchrist	0					
exaltes	1	dégradèrent	0					
prêchent	1	empêchions	0					
comportements	1	rejettes	0					
surpassèrent	1	bannissements	0					
obéiraient	1	réfugies	0					
adorerons	1	frustrait	0					
afficherait	1	injurièrent	0					
interpoler	1	périras	0					
prédication	1	délinquantes	0					
débarques	1	saccagea	0					
participèrent	1	succombiez	0					
retracerai	1	errants	0					
introduiront	1	crapules	0					
conquéraient	1	corrompit	0					
entendîtes	1	brûleront	0					
ressemblerez	1	dissidents	0					
vénéraient	1	condamnèrent	0					
testera	1	exhumèrent	0					
synagogue	1	synagogue	1					
purifièrent	1	prophète	1					
catholiques	1	prophétisa	1					
familiarisèrent	1	prophètes	1					
prophétisa	1	convertirent	1					
idolâtrie	1	familiarisèrent	1					
imams	1	convertissaient	1					
convertissaient	1	imams	1					
réformaient	1	civilises	1					
adoreront	1	schématiques	1					
scribes	1	qualifièrent	1					
conjecturent	1	persévéraient	1					
disperserai	1	ressusciteraient	1					
convertiront	1	ressuscitèrent	1					
prophétisaient	1	scribes	1					
réformèrent	1	patriarcaux	1					
convertirent	1	idolâtrie	1					
convertiraient	1	prêcheraient	1					
consacras	1	barmans	1					
idolâtries	1	convertiront	1					
incorporèrent	1	soulageraient	1					
vénèrent	1	naturalisèrent	1					
prêchèrent	1	pélagien	1					
docteurs	1	adoreraient	1					
réconciliaient	1	prêcheront	1					
peuples	1	idolâtries	1					
naturalisèrent	1	orthodoxes	1					
surnommaient	1	toléraient	1					
ressusciterait	1	attacheraient	1					
transcrivirent	1	rebâtirai	1					
patriarches	1	respecteraient	1					
marchands	1	docteurs	1					
changeurs	1	souvinrent	1					
assemblerai	1	adorèrent	1					
immémoriaux	1	orientaux	1					
civilisèrent	1	purifiaient	1					
bénirent	1	marqueraient	1					
rebâtirait	1	astrologues	1					
livreras	1	prêchèrent	1					
vénérèrent	1	prééminente	1					
sanctifièrent	1	patriarches	1					
nativités	1	fanatiques	1					
glorifiaient	1	millénaires	1					
unissiez	1	réputent	1					
prééminente	1	secoururent	1					
affilient	1	transcrivirent	1					
rebâtira	1	enseigneraient	1					
ressuscitèrent	1	pratiqueraient	1					
révèrent	1	religion	1					
mélangèrent	1	adorent	1					
méditèrent	1	dédièrent	1					
apôtres	1	prêcherait	1					
cérémonielle	1	bénirent	1					
invoqueraient	1	reconstruisirent	1					
attroupèrent	1	conquérants	1					
bibliques	1	traiteraient	1					
soulageraient	1	clémences	1					
reconstituèrent	1	recrutèrent	1					
tolérants	1	disciples	1					
civilisait	1	accréditèrent	1					
habitants	1	courtières	1					
adoraient	1	certifiaient	1					
pétrissaient	1	apôtres	1					
barmans	1	adoriez	1					
orientaux	1	accoutumaient	1					
sacrèrent	1	convertiraient	1					
disséminèrent	1	incorporait	1					
immémoriales	1	surnommaient	1					
assimilèrent	1	persévérions	1					
sanctifient	1	accommodèrent	1					
domptaient	1	avènements	1					
glorifierez	1	sacrèrent	1					
religions	1	bâtissaient	1					
secourent	1	identifièrent	1					
absoudrait	1	pratiquaient	1					
bâtiras	1	prophétisent	1					
cérémonielles	1	papaux	1					
incitaient	1	résurrection	1					
attroupaient	1	pétrissaient	1					
rachèteraient	1	hématites	1					
traiteraient	1	bilingues	1					
adorera	1	tolérants	1					
purifiaient	1	prophétisait	1					
exalterai	1	stupéfiait	1					
stratèges	1	amassèrent	1					
ancestral	1	marchands	1					
déshabillaient	1	adorer	1					
officiaient	1	convoiteras	1					
armeraient	1	mosquées	1					
envisagèrent	1	nomades	1					
hématites	1	honorions	1					
voyagèrent	1	adoptaient	1					
indigènes	1	confédérèrent	1					
souvinrent	1	pardonnions	1					
enseignaient	1	entremetteurs	1					
recrutèrent	1	méditions	1					
persévérions	1	exportèrent	1					
adorent	1	proclamais	1					
excitiez	1	scellent	1					
révéraient	1	divinations	1					
commémorer	1	scellèrent	1					
pratiquiez	1	lèveraient	1					
édifierai	1	songeurs	1					
vénérations	1	régneraient	1					
prêcherait	1	gouvernerez	1					
informateurs	1	fractionna	1					
inspiras	1	implanta	1					
concubinages	1	pratiquiez	1					
annonceraient	1	prophétiseront	1					
vendeurs	1	marieraient	1					
régneraient	1	prêcherais	1					
couvrions	1	symboliquement	1					
commentèrent	1	théologiens	1					
instruisaient	1	gorgea	1					
fractionna	1	vendeurs	1					
appliquerions	1	gorgeaient	1					
initiai	1	patriarche	1					
observeras	1	souviendraient	1					
